主题,来源,标题,原文链接,之前日期,核验后日期,状态,依据,未核实原因,核验时间
building,苏州市住房和城乡建设局,关于公布全市第五批建筑外墙保温一体化系统信息归集企业名单的通知,https://zfcjj.suzhou.gov.cn/szszjj/tzgg/202608/0ed85619b69f46f3b7d1c3ad1630bed5.shtml,2026-08-31T00:00:00+08:00,2026-08-31T09:42:51+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.353000+08:00
building,广东省住房和城乡建设厅,广东省住房和城乡建设厅关于征求广东省工程建设标准《建设工程质量检测数字化管理标准（送审稿）》意见的公告,http://zfcxjst.gd.gov.cn/xxgk/gsgg/content/post_4949073.html,2026-08-31T00:00:00+08:00,2026-08-31T16:50:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.375000+08:00
building,青岛市住房和城乡建设局,青岛市住房和城乡建设局关于发布《青岛市房屋建筑工程文明施工图册（2026修订）》的通知,http://sjw.qingdao.gov.cn/cxjsj1/cxjsj35/202609/t20260901_10718950.shtml,,,未知,,未读取到明确发布时间,2026-09-09T10:02:43.345000+08:00
building,江苏省住房和城乡建设厅,省住房城乡建设厅关于开展2026年建筑施工“质量月”活动的通知,http://jsszfhcxjst.jiangsu.gov.cn/art/2026/8/31/art_49384_11823117.html,2026-08-31T00:00:00+08:00,2026-08-31T18:01:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.395000+08:00
building,黑龙江省住房和城乡建设厅,黑龙江省住房和城乡建设厅关于黑龙江建研建筑设计集团有限公司等36家企业整改情况的公告,https://zfcxjst.hlj.gov.cn/zfcxjst/c114764/202608/c00_31970963.shtml,2026-08-31T00:00:00+08:00,2026-08-31T10:56:09+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.380000+08:00
building,黑龙江省住房和城乡建设厅,关于2026年8月24日至28日全省建筑施工企业安管人员安全生产考核情况的通告,https://zfcxjst.hlj.gov.cn/zfcxjst/c114764/202609/c00_31971377.shtml,2026-09-01T00:00:00+08:00,2026-09-01T10:49:12+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.174000+08:00
building,江苏省住房和城乡建设厅,省住房和城乡建设厅关于公布2025年度智慧工地应用场景典型案例的通知,http://jsszfhcxjst.jiangsu.gov.cn/art/2026/8/31/art_49384_11822740.html,2026-08-31T00:00:00+08:00,2026-08-31T10:02:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.423000+08:00
building,新疆维吾尔自治区住房和城乡建设厅,关于发布新疆维吾尔自治区2026年度住房城乡建设领域重点人才计划重大需求项目榜单的通知,https://zjt.xinjiang.gov.cn/xjzjt/c113382/202608/1a7aa71b15ad4d4288e362b8847d48de.shtml,2026-08-29T00:00:00+08:00,2026-08-29T00:00:00+08:00,有来源依据,官方栏目日期,,2026-09-09T10:02:43.459000+08:00
building,福建省住房和城乡建设厅,福建省住房和城乡建设厅等11部门关于进一步加强建筑垃圾消纳和资源化利用全链条管理的意见,http://zjt.fujian.gov.cn/xxgk/zfxxgkzl/xxgkml/dfxfgzfgzhgfxwj/gcjs_3791/202608/t20260828_7205923.htm,2026-08-28T00:00:00+08:00,2026-08-28T08:43:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.494000+08:00
building,湖北省住房和城乡建设厅,全省乡村建设工匠继续教育在线视频课程质量专家评审会在汉召开,http://zjt.hubei.gov.cn/bmdt/dtyw/gzdt/202608/t20260828_6002921.shtml,2026-08-28T00:00:00+08:00,2026-08-28T09:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.477000+08:00
building,新疆维吾尔自治区住房和城乡建设厅,关于发布2026年自治区工程建设地方标准制（修）订计划的公告,https://zjt.xinjiang.gov.cn/xjzjt/c113382/202609/0f95558e13af4a9fac09b94c34006ac4.shtml,2026-08-28T00:00:00+08:00,2026-08-28T00:00:00+08:00,有来源依据,官方栏目日期,,2026-09-09T10:02:43.469000+08:00
building,福建省住房和城乡建设厅,福建省住房和城乡建设厅等11部门关于进一步加强建筑垃圾消纳和资源化利用全链条管理的意见,https://zjt.fujian.gov.cn/xxgk/zfxxgkzl/xxgkml/dfxfgzfgzhgfxwj/gcjs_3791/202608/t20260828_7205923.htm,2026-08-28T00:00:00+08:00,2026-08-28T08:43:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.525000+08:00
building,福建省住房和城乡建设厅,图解：关于《关于进一步加强建筑垃圾消纳和资源化利用全链条管理的意见》的政策解读,http://zjt.fujian.gov.cn/jdhy/zcjd/tj/202608/t20260828_7205929.htm,2026-08-28T00:00:00+08:00,2026-08-28T08:55:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.632000+08:00
building,乌鲁木齐市住房和城乡建设局（官方门户）,乌鲁木齐市住房和城乡建设局 乌鲁木齐市自然资源局 关于印发《关于高质量推进乌鲁木齐城市更新的若干政策措施》的通知,https://www.wlmq.gov.cn/wlmqs/c120908/202607/d98f0613269849c0a3521a2ef2d9ad5e.shtml,2026-08-28T00:00:00+08:00,2026-08-28T18:40:58+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.464000+08:00
building,福建省住房和城乡建设厅,关于印发无障碍设施品质提升典型案例（第三批）的通知,http://zjt.fujian.gov.cn/xxgk/zfxxgkzl/xxgkml/dfxfgzfgzhgfxwj/jskj_3794/202608/t20260828_7206194.htm,2026-08-28T00:00:00+08:00,2026-08-28T16:12:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.685000+08:00
building,福建省住房和城乡建设厅,关于《关于进一步加强建筑垃圾消纳和资源化利用全链条管理的意见》的政策解读,http://zjt.fujian.gov.cn/jdhy/zcjd/wz/202608/t20260828_7205927.htm,2026-08-28T00:00:00+08:00,2026-08-28T08:53:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.703000+08:00
building,黑龙江省住房和城乡建设厅,关于向社会公开征求《黑龙江省物业服务项目诚信评价办法（征求意见稿）》意见的公告,https://zfcxjst.hlj.gov.cn/zfcxjst/c114764/202608/c00_31970597.shtml,2026-08-28T00:00:00+08:00,2026-08-28T15:10:30+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.779000+08:00
building,深圳市住房和建设局,深圳市住房和建设局关于印发《深圳市建设工程文件归档与档案验收移交指南（2026年修订版）》的通知,https://zjj.sz.gov.cn/xxgk/tzgg/content/post_12960759.html,2026-08-28T00:00:00+08:00,2026-08-28T17:06:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.869000+08:00
building,苏州市住房和城乡建设局,服务企业走深走实丨市住建局开展计价计量新标准宣贯服务工作,https://zfcjj.suzhou.gov.cn/szszjj/gzdt/202608/176925847a9b4d95bfa87acaf82a3232.shtml,2026-08-26T00:00:00+08:00,2026-08-26T13:48:59+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.925000+08:00
building,湖北省住房和城乡建设厅,省科技节能办赴武汉开展预拌混凝土行业规范提升调研工作,http://zjt.hubei.gov.cn/bmdt/dtyw/gzdt/202608/t20260827_6001871.shtml,2026-08-27T00:00:00+08:00,2026-08-27T09:20:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.881000+08:00
building,乌鲁木齐市住房和城乡建设局（官方门户）,关于《关于加快推进乌鲁木齐市装配式建筑发展的通知（修订稿）》公开征求意见结果的公告,https://www.wlmq.gov.cn/wlmqs/c120806/202608/2361ba60975c424b9dc88ea824c573f2.shtml,2026-08-25T00:00:00+08:00,2026-08-25T12:32:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.958000+08:00
building,苏州市住房和城乡建设局,关于暂停我市建筑业企业和监理企业信用评价有关事项的通知,https://zfcjj.suzhou.gov.cn/szszjj/tzgg/202608/014bf36d317343a5b5ab7ba4b988e9cb.shtml,2026-08-25T00:00:00+08:00,2026-08-25T11:33:32+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.994000+08:00
building,福建省住房和城乡建设厅,关于印发无障碍设施品质提升典型案例（第三批）的通知,https://zjt.fujian.gov.cn/xxgk/zfxxgkzl/xxgkml/dfxfgzfgzhgfxwj/jskj_3794/202608/t20260828_7206194.htm,2026-08-28T00:00:00+08:00,2026-08-28T16:12:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.771000+08:00
building,黑龙江省住房和城乡建设厅,黑龙江省住房和城乡建设厅关于对黑龙江邦硕建筑工程有限公司等15家企业整改情况的公告,https://zfcxjst.hlj.gov.cn/zfcxjst/c114764/202608/c00_31969974.shtml,2026-08-26T00:00:00+08:00,2026-08-26T17:17:10+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.941000+08:00
building,深圳市住房和建设局,深圳市住房和建设局关于公布2026年度全屋智能应用试点项目的通知,https://zjj.sz.gov.cn/xxgk/tzgg/content/post_12953792.html,2026-08-25T00:00:00+08:00,2026-08-25T16:44:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.081000+08:00
building,湖北省住房和城乡建设厅,全国率先！湖北出台市政道路与桥梁BIM数据交换标准,http://zjt.hubei.gov.cn/bmdt/dtyw/gzdt/202608/t20260826_6001135.shtml,2026-08-25T00:00:00+08:00,2026-08-25T19:10:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.028000+08:00
building,江苏省住房和城乡建设厅,关于公布2025年江苏省建筑业企业技术中心名单的通知,http://jsszfhcxjst.jiangsu.gov.cn/art/2026/8/25/art_49384_11820387.html,2026-08-25T00:00:00+08:00,2026-08-25T15:11:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.114000+08:00
building,青岛市住房和城乡建设局,山东省“齐鲁建造”青岛品牌部品建材成果发布会举行,http://sjw.qingdao.gov.cn/cxjsj1/cxjsj36/202608/t20260824_10707869.shtml,,,未知,,未读取到明确发布时间,2026-09-09T10:02:44.136000+08:00
building,湖南省住房和城乡建设厅,陈飞赴张家界调研历史文化名城名镇名村和传统村落保护工作,https://zjt.hunan.gov.cn/zjt/gzdt/xwzx/202608/t20260824_34049994.html,2026-08-24T00:00:00+08:00,,未知,,原网页暂不可访问,2026-09-09T10:02:44.143000+08:00
building,苏州市住房和城乡建设局,严格督导 筑牢安全防线丨苏州住建严控工地复工及高温施工安全,https://zfcjj.suzhou.gov.cn/szszjj/gzdt/202607/ca404c13964748beb75d7b2ad44b6ab9.shtml,2026-08-20T00:00:00+08:00,2026-08-20T22:16:29+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.173000+08:00
building,深圳市住房和建设局,关于安居型商品房配售有关事项的通知（2026067-1）,https://zjj.sz.gov.cn/xxgk/tzgg/content/post_12947008.html,2026-08-21T00:00:00+08:00,2026-08-21T17:31:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.151000+08:00
building,江苏省住房和城乡建设厅,关于印发《江苏省建筑施工特种作业人员管理办法》的通知,http://jsszfhcxjst.jiangsu.gov.cn/art/2026/8/20/art_91895_11818726.html,2026-08-20T00:00:00+08:00,2026-08-20T16:58:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.194000+08:00
building,福建省住房和城乡建设厅,城乡历史文化保护利用（福建省城乡历史文化保护项目设计施工管理机制提升）中标结果公告,https://zjt.fujian.gov.cn/xxgk/tzgg/202608/t20260825_7203791.htm,2026-08-25T00:00:00+08:00,2026-08-25T15:32:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.037000+08:00
building,黑龙江省住房和城乡建设厅,关于开展《调升全省一线环卫工人工资标准》事项社会稳定风险评估的公告,https://zfcxjst.hlj.gov.cn/zfcxjst/c114764/202608/c00_31968150.shtml,2026-08-18T00:00:00+08:00,2026-08-18T20:02:54+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.226000+08:00
building,福建省住房和城乡建设厅,废止《关于进一步规范我省房屋建筑和市政基础设施工程各类保证金制度的通知》的通知,http://zjt.fujian.gov.cn/xxgk/zfxxgkzl/xxgkml/dfxfgzfgzhgfxwj/jzsc/202608/t20260819_7201293.htm,2026-08-19T00:00:00+08:00,2026-08-19T08:52:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.221000+08:00
building,上海市住房和城乡建设管理委员会,关于印发《上海市历史文化名镇申报办法》（试行）的通知,https://zjw.sh.gov.cn/jsgl/20260818/82a6b4255df04ccd97de310d1d5f9fa5.html,2026-08-18T00:00:00+08:00,2026-08-18T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.237000+08:00
building,青岛市住房和城乡建设局,青岛市住房和城乡建设局关于印发《青岛市建筑废弃物资源化利用管理规定》的通知,http://sjw.qingdao.gov.cn/cxjsj1/cxjsj35/202608/t20260814_10702080.shtml,,,未知,,未读取到明确发布时间,2026-09-09T10:02:44.460000+08:00
building,上海市住房和城乡建设管理委员会,上海市住房和城乡建设管理委员会关于批准《地质灾害危险性评估技术标准》为上海市工程建设规范的通知,https://zjw.sh.gov.cn/jsgl/20260818/b9bd3426b3d24417b01d85c1fef2be11.html,2026-08-18T00:00:00+08:00,2026-08-18T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.270000+08:00
building,沈阳市城乡建设局,《沈阳市城乡建设领域大力优化营商环境 重点措施（2026年版）》政策解读,https://jw.shenyang.gov.cn/zwgk/fdzdgknr/zcjdd/zcjd/202609/t20260903_5083803.html,2026-08-17T00:00:00+08:00,2026-08-17T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.295000+08:00
building,苏州市住房和城乡建设局,关于增补苏州市物业行业专家的通知,https://zfcjj.suzhou.gov.cn/szszjj/tzgg/202608/b25f8df8ae9941b89c9188dd6715d633.shtml,2026-08-14T00:00:00+08:00,2026-08-14T18:46:08+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.501000+08:00
building,苏州市住房和城乡建设局,关于转发《省住房城乡建设厅 省国防动员办公室关于开展2026年度工程勘察设计质量及市场行为联合抽查工作的通知》的通知,https://zfcjj.suzhou.gov.cn/szszjj/tzgg/202608/ac48596457e245c0a8e4dbd0c8a6c0be.shtml,2026-08-14T00:00:00+08:00,2026-08-14T18:43:55+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.530000+08:00
building,沈阳市城乡建设局,沈阳市城乡建设局关于沈阳市勘察设计企业2026年资质核查情况的公示（第三批）,https://jw.shenyang.gov.cn/tzgg/202608/t20260814_5072852.html,2026-08-14T00:00:00+08:00,2026-08-14T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.535000+08:00
building,湖南省住房和城乡建设厅,2026年全省住建行业智能楼宇管理员职业技能竞赛圆满落幕,https://zjt.hunan.gov.cn/zjt/gzdt/xwzx/202608/t20260814_34045222.html,2026-08-14T00:00:00+08:00,,未知,,原网页暂不可访问,2026-09-09T10:02:44.550000+08:00
building,沈阳市城乡建设局,《沈阳市城乡建设领域大力优化营商环境 重点措施（2026年版）》政策图解,https://jw.shenyang.gov.cn/zwgk/fdzdgknr/zcjdd/zcjd/202609/t20260903_5083801.html,2026-08-17T00:00:00+08:00,2026-08-17T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.409000+08:00
building,乌鲁木齐市住房和城乡建设局（官方门户）,关于公开征求《关于加快推进乌鲁木齐市装配式建筑发展的通知（修订稿）》意见建议的公告,https://www.wlmq.gov.cn/wlmqs/c120806/202608/925a3e1d959f43b5b0724b1696e8663a.shtml,2026-08-13T00:00:00+08:00,2026-08-13T10:59:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.612000+08:00
building,新疆维吾尔自治区住房和城乡建设厅,关于恢复自治区建筑施工企业主要负责人、项目负责人和专职安全生产管理人员考试的公告,https://zjt.xinjiang.gov.cn/xjzjt/c113382/202608/b680c0140de7471fa36863c951829ed1.shtml,2026-08-13T00:00:00+08:00,2026-08-13T00:00:00+08:00,有来源依据,官方栏目日期,,2026-09-09T10:02:44.625000+08:00
building,沈阳市城乡建设局,沈阳市城乡建设局关于注销部分房地产开发企业资质证书的公告,https://jw.shenyang.gov.cn/tzgg/202608/t20260813_5072247.html,2026-08-13T00:00:00+08:00,2026-08-13T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.614000+08:00
building,上海市住房和城乡建设管理委员会,上海市住房和城乡建设管理委员会关于进一步加强本市既有多层住宅加装电梯工程质量安全管理的通知,https://zjw.sh.gov.cn/jsgl/20260813/3962766e701b44238bd9400a24ef6e04.html,2026-08-13T00:00:00+08:00,2026-08-13T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.680000+08:00
building,江苏省住房和城乡建设厅,省住房城乡建设厅 省国防动员办公室关于开展2026年度工程勘察设计质量及市场行为联合抽查工作的通知,http://jsszfhcxjst.jiangsu.gov.cn/art/2026/8/13/art_49384_11815649.html,2026-08-13T00:00:00+08:00,2026-08-13T09:07:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.702000+08:00
building,福建省住房和城乡建设厅,关于调整房屋建筑与市政基础设施工程安全文明施工费费率的通知,http://zjt.fujian.gov.cn/xxgk/zfxxgkzl/xxgkml/dfxfgzfgzhgfxwj/jzsc/202608/t20260813_7199312.htm,2026-08-13T00:00:00+08:00,2026-08-13T12:32:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.626000+08:00
building,苏州市住房和城乡建设局,以赛促学砺精兵 匠心筑梦促发展丨2026年苏州市“苏技匠心”工程造价技能竞赛顺利举行,https://zfcjj.suzhou.gov.cn/szszjj/gzdt/202608/a5ce3efce34740029c1e213ac3580515.shtml,2026-08-12T00:00:00+08:00,2026-08-12T10:28:16+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.739000+08:00
building,黑龙江省住房和城乡建设厅,关于征求《黑龙江省超低能耗建筑示范项目奖补资金管理办法（征求意见稿）》意见的公告,https://zfcxjst.hlj.gov.cn/zfcxjst/c114764/202608/c00_31966375.shtml,2026-08-12T00:00:00+08:00,2026-08-12T09:38:46+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.764000+08:00
building,新疆维吾尔自治区住房和城乡建设厅,关于2025年度自治区工程建设标准复审结果的公告,https://zjt.xinjiang.gov.cn/xjzjt/c113382/202608/7d6ed0e829d049438ca7f022017cba11.shtml,2026-08-11T00:00:00+08:00,2026-08-11T00:00:00+08:00,有来源依据,官方栏目日期,,2026-09-09T10:02:44.789000+08:00
building,江苏省住房和城乡建设厅,关于转发《住房城乡建设部办公厅关于进一步加强城镇住宅“堵漏裂臭”问题整治的通知》《关于印发群众住房“堵漏裂臭”问题整治典型案例的通知》的通知,http://jsszfhcxjst.jiangsu.gov.cn/art/2026/8/13/art_49384_11815641.html,2026-08-13T00:00:00+08:00,2026-08-13T08:58:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.688000+08:00
building,云南省住房和城乡建设厅,《云南省房屋建筑和市政基础设施工程施工招标评标办法》政策解读,https://zfcxjst.yn.gov.cn/zfxxgk/fdzdgknr/zcjd/202608/t20260812_3724061.html,2026-08-12T00:00:00+08:00,2026-08-12T10:49:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.753000+08:00
building,上海市住房和城乡建设管理委员会,上海市住房和城乡建设管理委员会关于批准《城镇排水泵站设计标准》为上海市工程建设规范的通知,https://zjw.sh.gov.cn/jsgl/20260807/bb6f254d99284cf99de00071c33826c7.html,2026-08-07T00:00:00+08:00,2026-08-07T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.953000+08:00
building,深圳市住房和建设局,深圳市住房和建设局关于公布深圳市工程建设领域科技计划项目验收通过名单（第十六批）的通知,https://zjj.sz.gov.cn/xxgk/tzgg/content/post_12956539.html,2026-08-27T00:00:00+08:00,2026-08-27T15:12:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.886000+08:00
building,乌鲁木齐市住房和城乡建设局（官方门户）,乌鲁木齐市住房和城乡建设局 乌鲁木齐市自然资源局关于印发《乌鲁木齐市城镇老旧小区自主更新（原拆原建）改造工作指导方案（试行）》的通知,https://www.wlmq.gov.cn/wlmqs/c120908/202605/e4ed4fab5c4541b4acbb9cd6ecc32296.shtml,2026-08-10T00:00:00+08:00,2026-08-10T18:46:58+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.921000+08:00
building,福建省住房和城乡建设厅,《福建省建筑施工企业安全生产许可证审批管理规定》政策解读,http://zjt.fujian.gov.cn/jdhy/zcjd/wz/202608/t20260810_7197997.htm,2026-08-10T00:00:00+08:00,2026-08-10T12:29:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.926000+08:00
building,上海市住房和城乡建设管理委员会,上海市住房和城乡建设管理委员会关于近期本市建筑垃圾管理问题突出的房建工地有关情况的通报（2026年第二批）,https://zjw.sh.gov.cn/jsgl/20260806/f961d8bd5d86439db88aaa972c0edba6.html,2026-08-06T00:00:00+08:00,2026-08-06T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:45.057000+08:00
building,湖南省住房和城乡建设厅,强化标准设计助力产业倍增丨湖南发布3部市政系列装配式图集,https://zjt.hunan.gov.cn/zjt/gzdt/xwzx/202608/t20260806_34040594.html,2026-08-06T00:00:00+08:00,,未知,,原网页暂不可访问,2026-09-09T10:02:45.045000+08:00
building,苏州市住房和城乡建设局,全域布防严阵以待 住建领域筑牢台风安全防线,https://zfcjj.suzhou.gov.cn/szszjj/gzdt/202608/9eb5a67e3a4141f8a9cf17c06bb5138c.shtml,2026-08-10T00:00:00+08:00,2026-08-10T11:46:18+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:44.924000+08:00
building,湖北省住房和城乡建设厅,省科技节能办赴壹品空间调研居家智能体工作,http://zjt.hubei.gov.cn/bmdt/dtyw/gzdt/202608/t20260804_5989048.shtml,2026-08-04T00:00:00+08:00,2026-08-04T16:50:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:45.059000+08:00
building,福建省住房和城乡建设厅,一图读懂福建省“十五五”城市更新规划,http://zjt.fujian.gov.cn/xxgk/gzdt/bmdt/202608/t20260806_7196709.htm,2026-08-06T00:00:00+08:00,2026-08-06T09:56:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:45.047000+08:00
